"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","22261","Submitting of the “Contact Us” form with valid required fields except email","Contact Us Form","Wed Nov 12 18:52:02 UTC 2025","passed","Wed Nov 12 18:52:25 UTC 2025","","","",""
"","32821","Verify that Search filter for user cases at solutions page works properly","Use Cases","Wed Nov 12 18:51:56 UTC 2025","passed","Wed Nov 12 18:52:29 UTC 2025","","","",""
"","14096","Verify  allow cookies window is displayed when first visiting website","Cookies","Wed Nov 12 18:51:22 UTC 2025","passed","Wed Nov 12 18:51:36 UTC 2025","","","",""
"","20184","Verify Contact Form Fields Are Cleared After Page Refresh","Contact Us Form","Wed Nov 12 18:52:05 UTC 2025","passed","Wed Nov 12 18:52:25 UTC 2025","","","",""
"","18217","Verify 404 Error Page Handling for Non-Existent endpoints","Error 404 Page ","Wed Nov 12 18:51:23 UTC 2025","passed","Wed Nov 12 18:51:42 UTC 2025","","","",""
"","29735","Verify burger button functionality in the main navigation menu","Main Navigation Menu","Wed Nov 12 18:51:22 UTC 2025","passed","Wed Nov 12 18:51:52 UTC 2025","","","",""
"","18657"," Verify 'IvoryLab' customer story page opens on click","Contact Us Form","Wed Nov 12 18:51:53 UTC 2025","passed","Wed Nov 12 18:52:11 UTC 2025","","","",""
"","1799","Verify dropdown menu appears when clicking on Why Telnyx button","Main Navigation Menu","Wed Nov 12 18:52:16 UTC 2025","passed","Wed Nov 12 18:52:17 UTC 2025","","","",""
"","22736","Verify logo functionality in the main navigation menu","Main Navigation Menu","Wed Nov 12 18:51:50 UTC 2025","passed","Wed Nov 12 18:52:13 UTC 2025","","","",""
"","10551"," Verify 'Cyber Telecom' customer story page opens on click","Contact Us Form","Wed Nov 12 18:52:11 UTC 2025","passed","Wed Nov 12 18:52:22 UTC 2025","","","",""
"","1091","Verify dropdown menu appears when clicking on Resources button","Main Navigation Menu","Wed Nov 12 18:52:17 UTC 2025","passed","Wed Nov 12 18:52:18 UTC 2025","","","",""
"","13894","Verify dropdown menu appears when clicking on Products button","Main Navigation Menu","Wed Nov 12 18:52:00 UTC 2025","passed","Wed Nov 12 18:52:14 UTC 2025","","","",""
"","22328","Verify cookies window pop-up on ""Cookies Settings"" button click","Cookies","Wed Nov 12 18:51:22 UTC 2025","passed","Wed Nov 12 18:51:45 UTC 2025","","","",""
"","20330","Required fields validation in the “Contact Us” form","Contact Us Form","Wed Nov 12 18:51:55 UTC 2025","passed","Wed Nov 12 18:52:15 UTC 2025","","","",""
"","30211"," Verify 'Cosmo' customer story page opens on click","Contact Us Form","Wed Nov 12 18:51:22 UTC 2025","passed","Wed Nov 12 18:51:53 UTC 2025","","","",""
"","21655","Successful submitting of the “Contact Us” form with valid required fields","Contact Us Form","Wed Nov 12 18:52:06 UTC 2025","passed","Wed Nov 12 18:52:27 UTC 2025","","","",""
"","31738","Verify social media links in footer","Footer","Wed Nov 12 18:51:21 UTC 2025","passed","Wed Nov 12 18:51:53 UTC 2025","","","",""
"","1429","Verify dropdown menu appears when clicking on Solutions button","Main Navigation Menu","Wed Nov 12 18:52:14 UTC 2025","passed","Wed Nov 12 18:52:16 UTC 2025","","","",""
"","26980","Verify cookies settings window pop-up on ""Cookies Settings"" round button click","Cookies","Wed Nov 12 18:51:22 UTC 2025","broken","Wed Nov 12 18:51:49 UTC 2025","","","",""
"","38969","Verify saving cookies settings after closing cookies window","Cookies","Wed Nov 12 18:51:23 UTC 2025","broken","Wed Nov 12 18:52:02 UTC 2025","","","",""
"","939","Verify dropdown menu appears when clicking on Developers button","Main Navigation Menu","Wed Nov 12 18:52:18 UTC 2025","passed","Wed Nov 12 18:52:19 UTC 2025","","","",""
"","19526","Verify that report abuse button redirects to abuse report page","Report Abuse","Wed Nov 12 18:51:52 UTC 2025","passed","Wed Nov 12 18:52:12 UTC 2025","","","",""
"","22139","Verify footer logo redirect","Footer","Wed Nov 12 18:51:22 UTC 2025","passed","Wed Nov 12 18:51:44 UTC 2025","","","",""
